id,id_site,id_person,ids,infantdir,song,praat_f0_mean,praat_f0_median,praat_f0_std,praat_f0_min,praat_f0_max,praat_f0_first_quart,praat_f0_third_quart,praat_f0_IQR,praat_f1_mean,praat_f1_median,praat_f1_std,praat_f1_min,praat_f1_max,praat_f1_first_quart,praat_f1_third_quart,praat_f1_IQR,praat_f2_mean,praat_f2_median,praat_f2_std,praat_f2_min,praat_f2_max,praat_f2_first_quart,praat_f2_third_quart,praat_f2_IQR,praat_intensity_mean,praat_intensity_median,praat_intensity_std,praat_intensity_min,praat_intensity_max,praat_intensity_first_quart,praat_intensity_third_quart,praat_intensity_IQR,praat_intensitytravel_mean,praat_intensitytravel_median,praat_intensitytravel_std,praat_intensitytravel_max,praat_intensitytravel_first_quart,praat_intensitytravel_third_quart,praat_intensitytravel_IQR,praat_voweltravel_mean,praat_voweltravel_median,praat_voweltravel_std,praat_voweltravel_max,praat_voweltravel_first_quart,praat_voweltravel_third_quart,praat_voweltravel_IQR,praat_f0travel_mean,praat_f0travel_median,praat_f0travel_std,praat_f0travel_max,praat_f0travel_first_quart,praat_f0travel_third_quart,praat_f0travel_IQR,praat_f0_range,praat_f1_range,praat_f2_range,praat_intensity_range,praat_intensitytravel_range,praat_voweltravel_range,praat_f0travel_range,praat_f0travel_rate_median,praat_f0travel_rate_IQR,praat_voweltravel_rate_median,praat_voweltravel_rate_IQR,praat_intensitytravel_rate_median,praat_intensitytravel_rate_IQR,praat_f0_travel_rate_default,praat_voweltravel_rate_default,praat_intensitytravel_rate_default,mir_attack_mean,mir_attack_std,mir_attack_range,mir_attack_min,mir_attack_1q,mir_attack_med,mir_attack_3q,mir_attack_max,mir_attack_dist,mir_attack_iqr,mir_roughness_mean,mir_roughness_std,mir_roughness_range,mir_roughness_1q,mir_roughness_med,mir_roughness_3q,mir_roughness_max,mir_roughness_dist,mir_rolloff85,mir_inharmonicity,mir_roughness_iqr,mir_tempo,mir_pulseclarity,tm_peak_hz,tm_peak_idx,tm_std_idx,tm_std_hz,npvi_phrase,npvi_total,npvi_num_events
ACO01A,ACO,1,1,1,1,197.4520455,205.935,37.84245755,100.81,257.03,193.3,220.125,26.825,625.80656080000006,617.44,206.7815868,93.44,1099.07,448.48,797.91,349.43,1663.881481,1524.4,439.9701674,990.06,2634.49,1366.15,1982.7,616.55,71.5880102,72.39,6.288755013,50.79,84.47,68.5075,75.9525,7.445,4.390507614,1.49,11.26279403,80.56,0.7,3.52,2.82,207.1390697,68.36696552,427.7867801,2622.805707,33.39151332,164.3933175,131.0018042,25.3542132,3.61,62.16420386,241.06,1.01,7.77,6.76,156.22,1005.63,1644.43,33.68,80.56,2622.805707,241.06,4.743859649,20.87111111,100.5246099,296.9043582,2.615652174,5.194666667,29.93687207,244.5785157,5.184071924,5.8051887,5.2766261,20.075817,0.54999864,2.3341112,3.8470225,7.7021809,20.625816,81.061752,5.3680696,1037.9115,182.65843,1350.0208,4.8981662,34.134674,131.20818,1350.0208,2245.3711,4299.5752,0.38087618,126.31001,130.94057,0.27959359,1.9175,27,153.5462,8.0611734,45.632912,48.415287,22
ACO01D,ACO,1,0,0,0,210.7627232,205.23,43.06700712,143.8,593.63,188.7425,224.125,35.3825,605.6867829,569.39,168.8026674,202.09,1281.04,491.915,696.46,204.545,1689.952674,1623.625,450.4116312,746.6,2855.88,1417.6325,1902.855,485.2225,64.61543726,65.59,6.018478582,47.69,76.55,61.395,68.995,7.6,3.963091603,2.425,5.916388886,61.27,0.96,5.415,4.455,312.9026197,142.284996,475.1899183,2836.833413,62.44951847,331.3486303,268.8991118,39.68118321,6.185,84.35902712,593.63,2.37,13.8325,11.4625,449.83,1078.95,2109.28,28.86,61.26,2836.833413,593.63,4.395076923,14.79873016,99.86321827,334.2231313,1.947428571,4.305014245,25.47959256,200.9171757,2.544731562,7.4998612,4.992754,21.576427,0.48098528,3.9734607,6.5780072,10.525006,22.057413,148.68076,6.5515451,462.39343,43.840523,393.01517,2.009594,6.7170601,21.125193,393.01517,793.45941,6775.5571,0.46531561,19.115599,125.06851,0.24427746,2.075,30,156.2968,8.2055807,45.454285,50.712158,42
ACO02A,ACO,2,1,1,1,170.4625,170.545,39.34036132,84.27,251.43,146.215,197.75,51.535,684.6685047,703.23,180.0747188,302.6,1197.08,525.5275,804.0175,278.49,1466.187243,1413.18,270.0867933,887.43,2628.91,1328.7725,1574.6025,245.83,73.83427907,74.34,6.610150882,55.53,84.45,69.96,79.125,9.165,6.538565022,1.74,16.41945053,81.58,0.73,4.3,3.57,202.354071,44.17663763,391.5879796,2105.108221,17.21647572,151.5112069,134.2947312,26.61721973,2.2,55.2056289,251.43,0.715,7.06,6.345,167.16,894.48,1741.48,28.92,81.58,2105.108221,251.43,3.4688,23.70153846,95.84077681,387.6732557,2.971428571,10.60577334,41.5806655,316.1117886,10.21436077,9.1015615,6.3317018,25.599909,0.34054109,3.9310937,8.1223078,12.720564,25.940449,198.14726,8.7894707,2036.2678,423.88821,2585.7119,28.875868,113.36444,376.17871,2585.7119,6008.5161,6336.9019,0.45567232,347.30283,122.48331,0.13235062,1.2875,15,175.18469,9.197197,69.519073,68.144897,35
ACO02B,ACO,2,0,1,0,192.2963218,185.29,36.86632262,98.16,283.23,166.4275,223.795,57.3675,538.1701493,519.21,139.8273249,292.29,1192.94,445.2,595.75,150.55,1583.035025,1529.41,407.3977925,708.74,2581.22,1255.62,1853.98,598.36,71.62880597,72.49,5.379608031,54.85,82.1,68.16,75.07,6.91,7.313142857,2.66,16.42415719,81.95,1.0975,4.93,3.8325,302.9657003,126.2067434,443.3966353,2309.615637,51.12698033,284.8910279,233.7640475,42.36795238,5.22,74.79083306,279.04,1.4825,23.5925,22.11,185.07,900.65,1872.48,27.25,81.95,2309.615637,279.04,11.72114286,67.01650526,217.6381111,631.2461143,4.477090909,10.22992669,61.34726137,438.6833669,10.58916613,7.6225834,5.3329501,24.791666,1.5316681,3.3842759,6.4938865,9.2945642,26.323334,182.19604,5.9102883,1454.423,306.98853,2947.3113,7.8625851,34.505898,143.92603,2947.3113,5459.5806,7227.3335,0.47243646,136.06343,62.181076,0.097286969,1.8125,25,172.2411,9.0426588,62.4142,62.117661,39
ACO02C,ACO,2,0,0,1,222.8409655,237.96,46.40554127,91.4,295.23,196.93,250.55,53.62,534.0918421,512.845,123.099773,311.08,1017.1,457.815,595.725,137.91,1563.748947,1516.055,262.9126457,1010.03,2179.16,1397.47,1753.0675,355.5975,71.96625,72.07,6.424311318,48.87,86.52,68.4075,76.07,7.6625,6.427798742,2.47,15.20407214,85.58,0.875,4.97,4.095,185.5820305,84.79175946,356.9827507,1986.198239,35.68326463,164.6478997,128.964635,28.99779874,4.75,67.19054456,284.01,1.51,13.2,11.69,203.83,706.02,1169.13,37.65,85.58,1986.198239,284.01,9.374814815,31.39565961,133.6451188,281.1276821,3.666285714,8.9996298,39.86511754,255.1314161,8.836703594,7.886837,5.3063469,15.082217,1.9783356,3.4784703,5.9634314,11.07573,17.060553,73.633476,7.59726,831.13123,224.78825,1311.8467,1.6020002,14.431257,61.714664,1311.8467,4395.3716,11427.738,0.42667511,60.112663,100.24062,0.12270866,1.865,26,188.3338,9.8875237,47.972233,61.366112,27
ACO02D,ACO,2,0,0,0,161.4516667,165.97,36.27191415,75.77,240.51,147.575,186.6325,39.0575,532.3003774,524.71,122.7703215,307.75,824.43,425.4475,626.3775,200.93,1536.632075,1478.475,267.7813628,1048.97,2470.56,1349.9175,1642.0375,292.12,67.23764151,67.99,5.22735188,51.05,77.49,65.125,70.3,5.175,5.360460829,2.17,13.19325321,75.69,1.03,3.92,2.89,188.0305635,85.63591823,312.7981851,1886.509794,37.89666682,195.4322094,157.5355426,25.13884793,4.2,52.04473473,227.15,1.72,9.58,7.86,164.74,516.68,1421.59,26.44,75.69,1886.509794,227.15,3.963076923,20.41321739,86.89489728,253.4401354,2.217142857,6.334666667,21.33775333,159.5995884,4.54993766,10.255295,14.666378,46.296375,0.54577297,2.6503303,3.9939721,8.3251553,46.842148,100.73411,5.6748252,961.52295,102.51038,979.12128,4.3226614,22.108809,57.863987,979.12128,1743.1301,8242.8428,0.47134691,53.541328,183.63176,0.17699851,0.97250003,9,187.3699,9.8369169,65.787048,65.417267,43
ACO03A,ACO,3,1,1,1,177.9555346,187.63,53.51448568,99.89,512.96,123.165,207.27,84.105,615.2788156,557.01,244.5538896,121.57,1713.09,437.675,761.29,323.615,1828.353821,1789.94,456.7738425,618.96,2896.19,1480.585,2235.01,754.425,73.91804396,74.685,4.973251037,55.29,85.49,71.325,77.3775,6.0525,2.942702407,0.94,9.31078236,82.8,0.36,2.57,2.21,215.2417848,76.50750947,388.2279255,2932.083009,27.14429403,213.4257499,186.2814558,22.14025164,1.355,56.86343936,499.22,0.38,4.6825,4.3025,413.07,1591.52,2277.23,30.2,82.8,2932.083009,499.22,1.281927711,5.985848485,78.22606057,224.4594899,0.921536273,2.469571327,17.80375234,173.0834632,2.366330144,4.7356868,3.0788829,14.52343,0.23661739,2.5747972,4.2080441,5.9955015,14.760047,183.92525,3.4207044,695.83936,139.59392,1558.3546,12.611576,37.235828,103.96978,1558.3546,1807.5322,4586.9297,0.50381792,91.358208,167.51845,0.1930508,1.4974999,19,174.6528,9.1692715,74.996284,74.800247,91
ACO03B,ACO,3,0,1,0,172.5463946,180.31,28.36782986,100.69,222.48,172.41,186.25,13.84,691.9655941,671.91,231.7742014,111.76,1538.53,523.99,833.8875,309.8975,1583.455198,1534.67,405.0966536,690.32,3062.75,1330.245,1768.4275,438.1825,71.7684878,71.75,4.888484784,61.28,85.48,68.71,74.58,5.87,3.730873786,1.385,11.06673619,80.53,0.65,2.79,2.14,297.0993229,117.9325659,481.45306419999997,2816.37239,42.42667542,271.2414029,228.8147275,28.33616505,2.545,60.35018639,202,0.365,7.0375,6.6725,121.79,1426.77,2372.43,24.2,80.52,2816.273743,202,2.700227642,13.06448718,151.9618589,388.3372132,1.884483516,3.908926807,30.9925336,324.9508439,4.080623859,5.0007205,3.414422,10.191868,0.70896852,2.1521215,3.7983956,8.2738113,10.900836,70.05722,6.1216903,1206.9009,245.88606,1644.9932,17.69231,42.685162,87.405678,1645.0621,2666.4785,4267.1069,0.48037475,69.713371,106.99437,0.097947277,1.9175,27,160.0524,8.40275,51.788448,45.457531,27
ACO03C,ACO,3,0,0,1,202.397663,216.83,72.18993923,100.53,596,113.3725,229.7825,116.41,708.3512105,649.81,246.6328512,238.74,1737.18,551.2975,834.0375,282.74,1789.505316,1776.15,324.5702302,1071.53,3036.6,1550.4925,2065.8375,515.345,75.18031088,75.93,4.437329094,61.24,83.12,73.81,77.95,4.14,3.903195876,1.265,11.02423699,80.43,0.4725,3.5025,3.03,223.2898342,104.2194185,398.0574041,2497.15749,35.09387186,220.4577523,185.3638804,38.19793814,2.835,88.93861824,596,0.815,13.605,12.79,495.47,1498.44,1965.07,21.88,80.43,2497.15749,596,4.278888889,27.1038,108.4100721,265.135016,1.515301297,4.15590051,33.60725624,196.454548,3.434104308,8.4622955,4.2473454,16.537092,2.0663092,5.7459273,7.3839378,10.560219,18.603401,109.53127,4.814292,1443.9614,228.73929,1507.3655,36.396004,116.59295,238.2114,1507.6771,4092.0874,7897.1338,0.41168931,201.8154,183.97908,0.24255714,1.55,20,158.34599,8.3131666,61.959358,62.25106,22
ACO03D,ACO,3,0,0,0,186.9801873,189.1,61.73276405,100.2,325.85,128.075,224.045,95.97,734.1522699,737.49,197.3571317,229.46,1292.51,588.385,880.615,292.23,1815.82862,1748.815,317.0856368,1115.17,2693.18,1595.4975,2063.5075,468.01,74.37318182,74.415,5.271708616,57.19,85.66,70.615,78.01,7.395,3.357009063,1.41,9.248766099,81.73,0.59,3.165,2.575,210.1779057,79.04451598,360.0368223,2225.725185,33.16549644,211.1753916,178.0098952,39.47558912,4.06,71.33186199,296.09,0.965,17.915,16.95,225.65,1063.05,1578.01,28.47,81.72,2225.725185,296.09,5,38.31613067,72.9810745,198.9752225,1.085217391,3.016597307,26.18521042,139.4166068,2.226793587,5.9255371,7.4981627,29.312408,0.53124124,2.0064147,3.288311,5.8900995,29.843649,206.51881,3.8836846,1174.0239,242.89169,1688.6268,23.805269,66.320084,191.69031,1688.6268,4009.9753,7036.8994,0.46791276,167.88504,102.94279,0.077552028,1.0775,11,168.13409,8.8270416,68.821365,53.866856,38
