id,id_site,id_person,ids,infantdir,song,praat_f0_mean,praat_f0_median,praat_f0_std,praat_f0_min,praat_f0_max,praat_f0_first_quart,praat_f0_third_quart,praat_f0_IQR,praat_f1_mean,praat_f1_median,praat_f1_std,praat_f1_min,praat_f1_max,praat_f1_first_quart,praat_f1_third_quart,praat_f1_IQR,praat_f2_mean,praat_f2_median,praat_f2_std,praat_f2_min,praat_f2_max,praat_f2_first_quart,praat_f2_third_quart,praat_f2_IQR,praat_intensity_mean,praat_intensity_median,praat_intensity_std,praat_intensity_min,praat_intensity_max,praat_intensity_first_quart,praat_intensity_third_quart,praat_intensity_IQR,praat_intensitytravel_mean,praat_intensitytravel_median,praat_intensitytravel_std,praat_intensitytravel_max,praat_intensitytravel_first_quart,praat_intensitytravel_third_quart,praat_intensitytravel_IQR,praat_voweltravel_mean,praat_voweltravel_median,praat_voweltravel_std,praat_voweltravel_max,praat_voweltravel_first_quart,praat_voweltravel_third_quart,praat_voweltravel_IQR,praat_f0travel_mean,praat_f0travel_median,praat_f0travel_std,praat_f0travel_max,praat_f0travel_first_quart,praat_f0travel_third_quart,praat_f0travel_IQR,praat_f0_range,praat_f1_range,praat_f2_range,praat_intensity_range,praat_intensitytravel_range,praat_voweltravel_range,praat_f0travel_range,praat_f0travel_rate_median,praat_f0travel_rate_IQR,praat_voweltravel_rate_median,praat_voweltravel_rate_IQR,praat_intensitytravel_rate_median,praat_intensitytravel_rate_IQR,praat_f0_travel_rate_default,praat_voweltravel_rate_default,praat_intensitytravel_rate_default,mir_attack_mean,mir_attack_std,mir_attack_range,mir_attack_min,mir_attack_first_quart,mir_attack_median,mir_attack_third_quart,mir_attack_max,mir_attack_iqr,mir_attack_dist,mir_roughness_mean,mir_rolloff85,mir_inharmonicity,mir_roughness_std,mir_roughness_range,mir_roughness_first_quart,mir_roughness_median,mir_roughness_third_quart,mir_roughness_max,mir_roughness_iqr,mir_roughness_dist,mir_tempo,mir_pulseclarity,tm_peak_hz,tm_peak_idx,tm_std_idx,tm_std_hz,npvi_phrase,npvi_total,npvi_num_events
ACO01A,ACO,1,1,1,1,197.2783523,205.16,37.16870335,100.71,257.01,191.68,219.6475,27.9675,645.7304695,631.1,208.8142305,137.87,1096.99,456.19,820.98,364.79,1700.316995,1547.33,443.7019928,988.27,2689.93,1402.25,2031.27,629.02,70.53693023,71.53,7.323167811,44.87,84.47,67.43,75.72,8.29,3.1849302330000002,1.73,5.46618619,66.42,0.8,4.11,3.31,147.5052227,67.34240288,239.6962442,1890.174289,26.15892646,147.8696188,121.7106923,25.41855814,3.37,62.72050725,238.43,0.89,7.43,6.54,156.3,959.12,1701.66,39.6,66.41,1890.174289,238.43,1.046153846,2.26267206,22.88903504,74.15687227,0.573968254,1.10192385,7.462010582,43.30243779,0.934985492,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,944.493904,4326.323318,0.380452079,155.8778791,1150.164868,2.55118034,31.28224555,113.5835083,1150.164868,111.032328,4772.755246,130.9405711,0.261122095,1.865,27,153.5462,8.061173,43.77122199,42.0649771,22
ACO01B,ACO,1,0,1,0,228.4310152,230.61,42.37187605,113.2,380.83,212.92,246.17,33.25,769.9904734,791.025,234.883269,211.76,1542.36,610.795,932.1225,321.3275,1661.694822,1558.735,332.8306498,1059.4,2914.77,1441.325,1880.9675,439.6425,64.96344118,66.405,12.82340965,43.42,85.77,51.95,76.9325,24.9825,3.897176471,2.51,5.057155942,64.35,1.05,5.03,3.98,188.9937074,89.66412017,265.5598032,1992.162229,30.29361487,220.5325982,190.2389833,25.848,1.575,66.38657431,380.83,0,11.6625,11.6625,267.63,1330.6,1855.37,42.35,64.34,1992.162229,380.83,0.242071352,3.454327044,22.53058064,68.9702056,0.578088474,1.161781483,4.822867727,35.26352723,0.727157483,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1248.993019,2923.637009,0.502104731,464.1268265,5776.751812,0,0.430443095,108.9829013,5776.751812,108.9829013,10048.32442,95.81509567,0.159480918,0.9725,10,157.0646,8.24589,47.83285192,55.67534482,30
ACO01C,ACO,1,0,0,1,196.8692697,196.485,22.24375235,143.65,242.45,180.3625,215.355,34.9925,607.9952239,574.37,210.372986,107.31,1356.76,463.61,717.54,253.93,1806.592189,1669.49,489.7241907,838.76,3064.47,1453.32,2253.63,800.31,63.26643564,64.1,6.513188547,42.77,78.33,59.4775,67.89,8.4125,3.076485149,1.885,4.151337976,46.17,0.7625,3.98,3.2175,300.2649321,139.530996,407.8896129,2749.984338,56.51512008,374.7114264,318.1963063,17.5939604,4.425,46.77838526,210.16,1.5,8.23,6.73,98.8,1249.45,2225.71,35.56,46.14,2749.71509,210.16,1.558778495,3.34019108,56.29200037,124.1990369,0.646508402,1.57177471,5.492483338,93.73671985,0.96041727,8.445812338,7.233345004,21.23962426,2.027546613,3.297396066,4.399931698,14.71528051,23.26717087,11.41788445,87.30010236,365.5062174,3722.047806,0.450255428,40.50801434,374.5791428,0.532613365,2.725421632,12.44797459,374.5791428,11.91536123,1124.474035,105.9683396,0.129992951,2.4425,38,159.9912,8.399538,66.02037601,66.02037601,27
ACO01D,ACO,1,0,0,0,210.7792377,206.78,43.11374698,144.09,590.26,189.33,224.435,35.105,616.5128417,581.055,182.8455916,191.6,1303.65,494.9225,717.7825,222.86,1709.349532,1625.54,456.7910505,733.33,2860.66,1440.5325,1945.2975,504.765,63.62182796,65.31,7.047924172,44.28,76.56,59.14,68.685,9.545,3.932857143,2.47,6.284051815,71.42,0.8,5.3225,4.5225,286.783182,139.1647306,390.3990245,2523.280591,57.71706771,330.9128326,273.1957649,37.52328571,6.415,81.35426569,590.26,1.2975,13.7275,12.43,446.17,1112.05,2127.33,32.28,71.4,2523.280591,590.26,1.550282927,3.935654358,37.08709734,101.583017,0.618684807,1.379880694,8.485617223,64.8539237,0.889386941,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,443.0203518,7375.374413,0.465438532,44.49542451,477.4447654,1.21562423,6.067865885,18.8177139,477.4447654,17.60208967,1681.657689,125.0685117,0.24427747,2.0225,30,156.2968,8.205581,48.392115509999996,53.80535849,42
ACO02A,ACO,2,1,1,1,171.1485096,170.515,42.86497627,82.81,266.19,144.265,203.3025,59.0375,719.0038983,714.52,221.5121899,302.97,1530.88,542.59,819.73,277.14,1524.643627,1460.62,289.2323428,918.86,2555.43,1360.37,1692.635,332.265,70.19098305,71.57,8.712419007,50.73,84.45,62.865,77.66,14.795,3.235622896,1.69,6.953260685,81.58,0.68,3.59,2.91,155.2550066,56.43833458,254.3392471,1949.295807,23.05735686,177.5930593,154.5357025,24.90252525,1.52,54.84273959,265.32,0.08,6.32,6.24,183.38,1227.91,1636.57,33.72,81.58,1949.295807,265.32,0.447594937,2.961164241,13.92142301,48.00622812,0.437333333,0.78011719,5.312419474,33.12032463,0.690250724,8.820381663,6.107309294,24.60076427,0.339860605,3.892054607,7.964882431,12.06096695,24.94062488,8.168912339,191.4978403,1779.951992,6481.662369,0.4539599,386.7969056,2624.024215,3.613504817,54.6840953,276.539709,2624.024215,272.9262042,11265.75751,122.4833082,0.116197507,1.235,15,175.1847,9.197197,72.09245321,72.95639247,35
ACO02B,ACO,2,0,1,0,192.2693785,185.47,37.80089607,98.63,282.86,165.94,223.9,57.96,576.2642545,540,168.647726,225.46,1198.13,462.075,682.48,220.405,1574.610691,1568.21,365.0691914,604.36,2604.81,1289.795,1745.345,455.55,66.8217029,70.17,9.945956163,45.51,83.2,60.62,74.4075,13.7875,3.84801444,1.9,6.274749839,72.1,0.86,5.16,4.3,210.8617638,104.0948387,306.2591564,2309.625713,49.45997188,243.7584913,194.2985195,34.96963899,3.32,69.76591636,281.71,0,14.12,14.12,184.23,972.67,2000.45,37.69,72.08,2309.625713,281.71,0.813275109,6.690552147,24.62713774,82.93638767,0.553429952,1.390877193,7.992854233,48.19573178,0.879523478,7.407710673,5.097860348,23.4543035,1.410068099,3.326665841,6.397386756,8.989923059,24.8643716,5.663257217,175.1245731,1266.800513,7234.988022,0.47229645,277.764945,3384.94382,0.436889137,13.32512907,106.2278061,3384.94382,105.7909169,9564.56148,62.1810755,0.12743263,1.76,25,172.2411,9.042659,60.40128132,60.04496176,39
ACO02C,ACO,2,0,0,1,219.2249669,236.31,49.37447084,94.84,295.04,193.425,249.055,55.63,580.5833649,535.96,169.1318849,302.37,1257.52,480.155,672.53,192.375,1593.752417,1538.03,263.3646861,1009.79,2254.62,1421.89,1769.75,347.86,67.19231132,69.355,10.42385365,43.41,86.42,62.3875,74.51,12.1225,3.806478873,2.28,6.461157039,64,1.03,4.73,3.7,143.6307586,90.4453062,219.7504836,2006.770595,40.2945225,171.2141691,130.9196466,30.49840376,3.5,69.25457045,290.49,0.31,11.13,10.82,200.2,955.15,1244.83,43.01,63.99,2006.770595,290.49,1.159550562,7.07030303,32.65326011,61.21110235,0.727272727,1.620862745,9.036171267,42.55541189,1.127796566,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,731.6233878,11372.39113,0.458766149,218.8741185,2855.893295,0.043454915,4.265925131,38.79453719,2855.893295,38.75108228,8596.084237,100.2406262,0.093936947,1.8125,26,188.3338,9.887524,80.52242865,72.8618113,27
ACO02D,ACO,2,0,0,0,162.2459336,165.74,32.55459994,75.32,272.21,150.25,179.87,29.62,598.3737805,572.225,190.0334593,257.85,1116.43,459.3475,692.5125,233.165,1584.685457,1577.01,280.3284439,823.85,2469.48,1395.64,1753.9775,358.3375,66.30477204,67.69,8.420839026,45.01,85.89,62.41,71.34,8.93,3.34830303,2.165,5.677740424,66.76,1.01,4.01,3,158.1976574,89.84523438,208.3836936,1514.689537,35.2457639,188.3320539,153.08629,25.29493939,2.92,54.35323321,272.21,0.455,7.795,7.34,196.89,858.58,1645.63,40.88,66.76,1514.689537,272.21,0.567839278,3.432129343,22.62317232,41.95378485,0.508844204,0.913755783,4.861401376,30.40380123,0.643505988,9.828649921,13.96786161,44.17832522,0.544609127,2.608623367,3.92748982,8.096551097,44.72293435,5.487927731,96.24462155,407.6429015,6516.653824,0.44507257,115.1580479,2312.833912,0.134916746,3.206743992,19.61767791,2312.833912,19.48276117,3976.729398,183.6317571,0.176998515,0.92,9,187.3699,9.836917,59.57012277,61.15472328,44
ACO03A,ACO,3,1,1,1,178.7833776,188.12,53.51858157,100,512.98,124.05,207.72,83.67,639.6917761,579.055,256.424239,80.65,1652.14,445.46,808.0225,362.5625,1834.135319,1809.25,447.6330211,647.28,2899.84,1519.895,2199.2225,679.3275,72.82935391,73.78,5.674132379,55.36,85.85,69.36,76.99,7.63,1.893722276,0.98,3.103971399,71.71,0.4,2.48,2.08,193.8428046,85.74956237,285.6834884,2632.18088,29.87653365,226.2808317,196.404298,23.47791707,1.34,58.80250833,499.23,0.34,4.9,4.56,412.98,1571.49,2252.56,30.49,71.71,2632.139549,499.23,0.104497175,0.516588941,6.444642646,17.57640849,0.074343434,0.182579472,1.444792217,11.92876585,0.116536539,4.572311593,2.950213105,13.28877808,0.240619142,2.473532075,4.130936588,5.657573878,13.52939722,3.184041803,NA,666.7251029,4582.177305,0.502686567,133.8819006,1740.54893,8.030801631,29.22381478,91.96641015,1740.54893,83.93560852,4073.797863,167.518441,0.1930508,1.445,19,174.6528,9.169271,73.54409027,74.67260089,92
ACO03B,ACO,3,0,1,0,173.0092466,180.575,27.849606,102.04,223.12,173.115,186.325,13.21,690.8609217,666.89,211.8697459,141.09,1458.21,534.32,820.23,285.91,1596.049585,1544.73,398.6964463,689.9,3148.26,1349.82,1780.02,430.2,71.556621,71.64,4.922239971,61.31,85.19,68.225,74.685,6.46,2.33260274,1.38,5.117054062,71.96,0.615,2.74,2.125,252.096782,126.932713,360.7799567,1804.96022,51.64664015,258.9479371,207.3012969,27.4090411,1.82,59.85597744,210.64,0,7.25,7.25,121.08,1317.12,2458.36,23.88,71.95,1804.96022,210.64,0.729230769,5.084462475,39.85620194,88.18016968,0.472866242,0.991631066,7.901380502,72.67356019,0.672434389,4.861134048,3.291640119,9.620251606,0.708902309,2.132953214,3.61065716,8.039810625,10.32915391,5.906857411,67.47530117,1181.728226,4353.660393,0.479526858,235.1695986,1692.908709,16.30433663,40.9422917,91.81391242,1692.918785,75.50957579,6644.337923,106.9943678,0.085999209,1.865,27,160.0524,8.40275,54.54944197,48.67628997,27
