What society/site is your sample from?,What's your last name?,What is the population size of the residential community/town/city where your sample was taken?,"In the community you sampled, what was the average number of children born per woman?",How much education did members of the community have?,"What's the distance (in km) of this site to the closest urban center of 50,000+ people?",How much market exchange is there within this sample's community? https://d-place.org/parameters/SCCS1733,How much market exchange is there outside of your sample's local community? https://d-place.org/parameters/SCCS1734#2/6.7/153.6,"How many households were able to access the internet? (on any device, including phones)","How many households were able to access the radio? (on any device, including phones)","How many households were able to watch TV broadcasts? (on any device, including phones)",What is the typical sleeping arrangement of infants in the community you sampled? https://d-place.org/parameters/SCCS23#2/14.3/151.2,Are infants typically in a carrying device? https://d-place.org/parameters/SCCS28#2/14.2/156.2,In what position are infants carried? https://d-place.org/parameters/SCCS29#3/24.33/169.21,How much bodily contact is there in EARLY infancy (in the first few months after birth)? https://d-place.org/parameters/SCCS26#2/14.3/151.2,"How much bodily contact is there in LATE infancy (in the period after crawling begins, usually around 9 months)? https://d-place.org/parameters/SCCS27#2/14.3/149.4",What's the typical role of the father during infancy? https://d-place.org/parameters/SCCS53#2/14.2/151.8,"Of the care that infants receive, how much of it is non-maternal? https://d-place.org/parameters/SCCS51#3/5.70/150.32",When and how were the infants weaned? https://d-place.org/parameters/SCCS39#2/14.3/151.2,How much did the infants cry? https://d-place.org/parameters/SCCS32#2/14.2/152.7,What were caregivers' responses to the crying? https://d-place.org/parameters/SCCS31#2/14.3/151.9,How common was infant directed song among caretakers of infants?,How do caretakers most commonly respond to calm an infant? Please describe in text description,"When and how did children in the community you sampled receive their names (e.g., ""after birth"", ""at one year of age"", ""at baptism"")?","Please describe the site, with respect to music and infant care."
Hadza,Wood,35,6,3 - small fraction of local community is formally educated,80,1 - no market exchange,3 - market exchange outside of local community involving local and regional products,1 - absent,"2 - available, but rare (fewer than half of households)",1 - absent,"8 - Mother same bed as infant, Father same room","2 - None, clothing or blanket",1 - Back,5 - almost constantly,3 - Up to 1/2 of the time,5 - Regularly close,"3. Principally mother, other important roles",1- >2 years and gentle,4 - Frequent and short,"4 - Generally speedy, nurturant",3 - Often performed,"gentle verbal soothing, bring to breast, rocking, pick up, re-arrange sling / clothes, very nurturant","mother and father usually both propose a name, eventually one 'wins out', sometimes both stick!","In normal situations mother, father, and many others sing to infants when they are simply trying to be appealing and friendly, as when a friend or relative comes to visit and meets the infant for the first time. Many Hadza delight in picking up an infant, speaking to it in repetitive and playful ways, rocking the baby or doing physical jokes and games that the infant likes -- for example bumping on a knee or giving exaggerated attentiveness to the infant. Singing goes along with this. Singing is also used in more serious cases to appease children whose crying doesn't respond to the usual appeasements of breast feeding, rocking, or fussing over. There are times in which children who are struggling (hunger, teething, other discomforts) are sung to throughout the night, by both mother and father. The singings seems to have a more meditative or even hypnotic quality in those cases. "
Tsimane,Stieglitz,"Sample was taken in one village.  Village size: 150 people; Population size: ~16,000 people",9,1 - Most people have no formal schooling,234,1 - no market exchange,"2 - market exchange outside of the local community (e.g. market places, trading posts), no further info",1 - absent,"3 - available, and common (more than half of households)",1 - absent,9 - Mother and Father in same bed as infant,3 - Sling or Pouch,3 - Front,4 - more than 1/2 of the time,3 - Up to 1/2 of the time,3 - Occasionally close,"2 - Principally mother, other minor roles",1- >2 years and gentle,4 - Frequent and short,"4 - Generally speedy, nurturant",2 - Sometimes performed,"When infants are not sleeping and in distress (i.e. crying or fussing), the caretaker (i.e. mother) quickly begins breastfeeding, so as to soothe the distressed infant. When infants are not sleeping and not in distress, caretakers (mothers or others) infrequently engage directly with the infant (verbally; but it is common for the caregiver to maintain eye contact with the infant). See Winking et al 2009 AJPA (https://onlinelibrary.wiley.com/doi/abs/10.1002/ajpa.20981), and Cristia et al 2019 Child Dev (https://srcd.onlinelibrary.wiley.com/doi/abs/10.1111/cdev.12974) for more information on direct infant care practices and infant-directed speech.",Children are named approximately four months (range: ~3-6 months) post-partum. There is no formal naming ceremony.,"The following includes excerpts from Schniter et al 2018 EHB (https://www.sciencedirect.com/science/article/pii/S1090513817301411):

Tsimane use music to assist with traditional knowledge transmission. Musical performance includes instrumental music, traditional song, and improvisation. About 20% of adults 15-29 years old perform music but the proportion is higher (55%) among oldest adults (aged 60+ years). When traditional melodies are played on flutes or violins in the absence of lyrics, they may serve as surrogates for corresponding lyrical speech that listeners easily recognize. Traditional Tsimane songs provide pedagogical benefits; their lyrics reference important animals, plants, fish, and trees, and their delicate relationships with humans (and sometimes spirits). Tsimane often sing personal and melancholy improvisational songs to spouses and neighbors, disclosing candid details of love affairs, sexual
exploits, complaints, lamentations, and confessions. **End Schniter et al excerpt**

In the context of infant care specifically, both music and song are used relatively infrequently; when used their primary function is to soothe and encourage the infant to sleep."
Nyangatom,Glowacki,155,5.6,1 - Most people have no formal schooling,180,"2 - market exchange within local community present, no further info",1 - no market exchange outside of the local community,1 - absent,1 - absent,1 - absent,"7 - Mother same bed as infant, Father not specified","2 - None, clothing or blanket",1 - Back,0 - Unknown/Uncertain,0 - Unknown/Uncertain,3 - Occasionally close,4 - Mother provided < 1/2 care,1- >2 years and gentle,0 - Unknown/Uncertain,0 - Unknown/Uncertain,3 - Often performed,Caregivers are primarily women or older siblings who usually attempt to calm an infant by picking it up or otherwise touching it. ,It varies ,"It's common for caregivers to sing to infants and small children during the day when they are fussy or tired. Not uncommonly the mother of a child might compose a song specifically about the child, denoting details such as the story of their birth, or activities that have happened to them. This becomes a sort of personal lullaby that they may sing to the child."
Toposa,Glowacki,250,5.2,1 - Most people have no formal schooling,180,"2 - market exchange within local community present, no further info",1 - no market exchange outside of the local community,1 - absent,1 - absent,1 - absent,"7 - Mother same bed as infant, Father not specified","2 - None, clothing or blanket",1 - Back,0 - Unknown/Uncertain,0 - Unknown/Uncertain,0 - Unknown/Uncertain,4 - Mother provided < 1/2 care,1- >2 years and gentle,0 - Unknown/Uncertain,"2 - Slow or perfunctory, nurturant",3 - Often performed,Caregivers are primarily women or older siblings who usually attempt to calm an infant by picking it up or otherwise touching it. ,large variation,"It's common for caregivers to sing to infants and small children during the day when they are fussy or tired. Not uncommonly the mother of a child might compose a song specifically about the child, denoting details such as the story of their birth, or activities that have happened to them. This becomes a sort of personal lullaby that they may sing to the child."
Enga,Wiessner,ca 500,6,3 - Most people have completed primary school education (to about age 10),120,"3 - market exchange within local community present, involving local and regional products",3 - market exchange outside of local community involving local and regional products,"2 - available, but rare (fewer than half of households)","2 - available, but rare (fewer than half of households)",1 - absent,"2 - Mother in the same room (not bed) as infant, Father in different room",3 - Sling or Pouch,1 - Back,5 - almost constantly,0 - Unknown/Uncertain,4 - Frequently close,0 - Unknown/Uncertain,0 - Unknown/Uncertain,0 - Unknown/Uncertain,3 - Speedy but inconsistently nurturant,2 - Sometimes performed,Don't know,variable with Christianity,"I really cannot answer this as I work regionally and not in a specific city 9so do not add this) .  The recording was made while dropping by at a village where I usually do not work. these are horticulturalists.  Babies are brought to work in gardens and suspended in net bags. Sometimes young girls or boys come and entertain babies. At night people sleep in crowded, smokey houses  as it often rains. I do not have a good idea of what life is like at night because it is too dangerous to be inEnga villages after dark.  "
Afrocolombians,Ross,"The in-sample residential community is about 300 people. The town is about 1,000 people. The district is about 14,000 people.",6.6,3 - Most people have completed primary school education (to about age 10),100,"3 - market exchange within local community present, involving local and regional products","4 - market exchange outside local community present, involving local, regional, and supra-regional products","2 - available, but rare (fewer than half of households)",0 - Unknown/Uncertain,"3 - available, and common (more than half of households)",0 - Unknown/Uncertain,"2 - None, clothing or blanket",0 - Unknown/Uncertain,0 - Unknown/Uncertain,0 - Unknown/Uncertain,2 - Rarely close,"3. Principally mother, other important roles",0 - Unknown/Uncertain,0 - Unknown/Uncertain,0 - Unknown/Uncertain,2 - Sometimes performed,"Holding, bouncing, baby talk, squeezing, some singing.","This is variable. Normally, children have names quite early, but in a few cases, when we were taking reproductive histories, respondents indicated that they had not given their newest (<1 year old) child a name yet.",NA
Colombian mestizos,Ross,"470,000 (regional department capital city)",3.5,5 - Most people have completed secondary school educ (to about age 18),0,"4 - market exchange within local community present, involving local, regional, and supra-regional products","4 - market exchange outside local community present, involving local, regional, and supra-regional products","3 - available, and common (more than half of households)",0 - Unknown/Uncertain,"3 - available, and common (more than half of households)",0 - Unknown/Uncertain,"2 - None, clothing or blanket",0 - Unknown/Uncertain,0 - Unknown/Uncertain,0 - Unknown/Uncertain,4 - Frequently close,"2 - Principally mother, other minor roles",0 - Unknown/Uncertain,0 - Unknown/Uncertain,0 - Unknown/Uncertain,0 - Unknown/Uncertain,"Holding, bouncing, baby talk, squeezing, some singing.","In the rural community, waiting a bit before assigning a name is common, but in the city likely at birth.",NA
SÃ¡para/Achuar,Patton,200,9,3 - Most people have completed primary school education (to about age 10),205,1 - no market exchange,1 - no market exchange outside of the local community,1 - absent,1 - absent,1 - absent,"8 - Mother same bed as infant, Father same room",3 - Sling or Pouch,2 - Side,5 - almost constantly,5 - Almost constantly,5 - Regularly close,"2 - Principally mother, other minor roles",3 - >1 year and gentle,1 - Very infrequently,1 - Indifferent or punitive,2 - Sometimes performed,"Mothers or alloparents (who are frequently an older sister) often rock the baby when it is in the hammock, especially if the baby is awake and fussy. If the mother is holding the infant while it is fussy, she may speak to the baby, encouraging it to calm down and/or sleep. She may pat and/or bounce the baby to quiet it. Infant-directed songs are normally performed in more intimate settings, and less frequently in public settings.","People typically have 2 or 3 names, a native name given after birth, a Spanish name on their official records/ID cards, and children often receive their public names at baptism/compadre ceremonies.","Music is a large part of SÃ¡para/Achuar life, which includes the lives of infants. Music is often played on loudspeakers at fiestas and ""mingas"" (collective work parties) where mothers carry their infants. Mothers may dance to music while holding their infants at these gatherings, and sing in their ""chagras"" (large gardens of predominantly manioc) while they work with their infant present in a sling on their backs or resting in a hammock hung nearby. Among Quichua speakers, the song ""Wawa PuÃ±ungi"" (translation: Baby, Sleep) is frequently sung to soothe a fussy baby. Achuar/SÃ¡para mothers may also sing about the dangers of being taken by a ""supai"" or demon if a baby keeps crying. Many songs contain an element of humor or irony, intended as much for the purpose of ""asichingawa"" (to make others laugh) as much as ""wawara puÃ±uchingawa"" (to make babies sleep)."
San Diego,Schachner,3.3 million (San Diego Metro Area),1.7,6 - Most people have some higher education (university/technical schools etc),0,"4 - market exchange within local community present, involving local, regional, and supra-regional products","4 - market exchange outside local community present, involving local, regional, and supra-regional products","3 - available, and common (more than half of households)","3 - available, and common (more than half of households)","3 - available, and common (more than half of households)",1 - Mother and Father were in a different room than the infant,0 - Unknown/Uncertain,3 - Front,3 - up to 1/2 of the time,3 - Up to 1/2 of the time,3 - Occasionally close,"3. Principally mother, other important roles",5 - >6 months and gentle,0 - Unknown/Uncertain,"4 - Generally speedy, nurturant",3 - Often performed,"Caretakers respond to infant by picking up, patting, singing, speaking in infant-directed speech, trying to engage with a toy or picture book.",Just after birth/ at birth,"Parents often sing to infants in order to soothe them or attract their attention in play. Infants also sometimes attend group music ""classes"" with a parent, during which a group of infants and parents are led in song, movement, and simple instrument play by a teacher, who often plays a guitar live as well as recorded music. Music also commonly is heard from electronic infant toys, which often play common melodies from classical music (Mozart, Vivaldi, Bach, etc). Infants also overhear recorded music the parents are listening to (played from radio/ smart speakers, etc). "
Quechuan/Aymaran,Moya,200,4,4 - Most people have some secondary school education (to about age 18),8,"3 - market exchange within local community present, involving local and regional products","4 - market exchange outside local community present, involving local, regional, and supra-regional products","2 - available, but rare (fewer than half of households)","3 - available, and common (more than half of households)","2 - available, but rare (fewer than half of households)",9 - Mother and Father in same bed as infant,3 - Sling or Pouch,1 - Back,5 - almost constantly,5 - Almost constantly,3 - Occasionally close,"3. Principally mother, other important roles",1- >2 years and gentle,2 - Infrequent and short,"4 - Generally speedy, nurturant",1 - Never performed,"Mothers most often sway them on their back sling, pat them, and vocalize with a ""chusc"" sound. They also breastfeed them if necessary. ( I assume this was to calm them)","Names are decided by family, predominantly parents, before birth and are named at birth.","Infants are nearly always in physical contact with a caretaker as they are carried caretakersâ€™ backs with a sling. Caretakers are overwhelmingly mothers and other adult women, or the infantsâ€™ older sisters. If infants get fussy it is typical for the caretaker to 1) either breastfeed them on demand or 2) keep them in the sling, pat the infant lightly, start swaying and bobbing, and soothe them with a repeated â€œchuscâ€ sound. While music and singing are important cultural traditions in the Andes, and form the basis of many celebrations and competitions, it is rare to see people, let alone caretakers soothing an infant, spontaneously start singing.
"
Jenu Kurubas,Placek,2000,1,2 - Most people have some primary school education (to about age 10),15,"2 - market exchange within local community present, no further info","4 - market exchange outside local community present, involving local, regional, and supra-regional products",1 - absent,"2 - available, but rare (fewer than half of households)","2 - available, but rare (fewer than half of households)","5 - Mother and Father in the same room as the infant, beds not specified","1 - none, skin contact",2 - Side,5 - almost constantly,4 - More than 1/2 of the time,3 - Occasionally close,"2 - Principally mother, other minor roles",3 - >1 year and gentle,0 - Unknown/Uncertain,"4 - Generally speedy, nurturant",2 - Sometimes performed,"They rock them or give them food, drink, or an object to calm them.",at birth,"The Jenu Kurubas are former honey gatherers by tradition, and currently reside in small government-provided settlements outside of their original forest dwelling. Their primary work is daily wage agricultural labor and cultivation, with many involved in tobacco production. For subsistence, they rely on government provisions and often grow crops on small plots of land. Jenu Kurubas number around 30,000â€“35,000 members within the state of Karnataka. Our sample lived in two government-protected hamlets in the eastern section of Mysore district, with an estimated total population of 2,000.

In regards to infant care, bodily contact in early infancy is constant and lessens slightly during late infancy. Fathers are occasionally in close proximity to infants and mothers sometimes rely on relatives to assist with caregiving. Infant-directed song is common during infancy, but mothers often use additional means to soothe infants, such as rocking, and providing them with food, drink, or objects. Infants are gently weaned after one year of age. Ethnographic observations indicate that Jenu Kuruba infants one year and above are sometimes given drinks, such as coffee with milk and sugar, or juice, to assist with weaning. 
"
Wellington,Neff,"210,400",1.45,5 - Most people have completed secondary school educ (to about age 18),0,1 - no market exchange,0 - Unknown/Uncertain,"3 - available, and common (more than half of households)","3 - available, and common (more than half of households)","3 - available, and common (more than half of households)",1 - Mother and Father were in a different room than the infant,3 - Sling or Pouch,1 - Back,4 - more than 1/2 of the time,4 - More than 1/2 of the time,5 - Regularly close,"3. Principally mother, other important roles",6 - >6 months and severe,0 - Unknown/Uncertain,"5 - Always speedy, nurturant",2 - Sometimes performed,This varies but usually involves a form of embrace. Singing is mainly used in the context of trying to get an infant to sleep.,after birth,"Infants are exposed to music routinely in their lives. In a day-to-day setting this is mostly via a more passive experience (e.g., music being played in the car or in the home) but does include more directed experiences via their caregivers (e.g., caregivers singing them to sleep), toys, or TV programmes. Music is also a part of New Zealand's early childhood curriculum (Te WhÄriki). In this context infants are encouraged to explore music in a self-directed fashion rather than as a specific training exercise. "
Arawak,Sagar,350,3,4 - Most people have some secondary school education (to about age 18),32.2,"3 - market exchange within local community present, involving local and regional products",3 - market exchange outside of local community involving local and regional products,"3 - available, and common (more than half of households)","2 - available, but rare (fewer than half of households)","2 - available, but rare (fewer than half of households)","5 - Mother and Father in the same room as the infant, beds not specified","2 - None, clothing or blanket",3 - Front,5 - almost constantly,5 - Almost constantly,5 - Regularly close,4 - Mother provided < 1/2 care,1- >2 years and gentle,2 - Infrequent and short,"5 - Always speedy, nurturant",3 - Often performed,"Caretakers may anticipate that the infant is in need of specific attention which is usually dispensed with almost immediately, in other circumstances if the condition is unknown or not familiar to the caretaker infant directed songs are sung to soothe and calm.",After birth,"The community is closely knitted and is considered as an 'extended family'. This provides spaces for care of infants from multiple sources. The community is culturally very responsive to singing as distinct from music, and the environment need not be formal as in a church or other supporting spaces. Almost every infant is nurtured with vocalization, this behavior is adapted by anyone who is presented with opportunities to perform caregiver functions."
