culture,location,lat,long,collaborator,urban,identifier,langfam,N
Afrocolombians,"Choco, Colombia",4.805564,-75.730921,Cody Ross,0,ACO,Indo-European (Romantic),53
Arawak,Guyana,6.533167,-58.210083,Sagar,0,ARA,Indo-European (Eastern Carribbean Creole),48
Hadza,"Lake Eyasi, TZ",-3.86,34.98,Wood,0,HAD,Hadza,38
Jenu Kurubas,Tiruvannamalai,12.0314,76.1207,Placek,0,JEN,Dravidian,80
Mbendjele,Republic of Congo,1.598167,16.6945,Salali,0,MBE,Niger-Congo,60
Mentawai Islanders,Siberut Island,1.572028,99.056528,Singh,0,MEN,Austronesian,60
Colombian Mestizos,"Choco, Colombia",4.805564,-75.730921,Cody Ross,0,MES,Indo-European (Romantic),43
Wellington,"Wellington, NZ",-41.288889,174.777222,Martin,1,WEL,Indo-European (Germanic),228
Nyangatom,"Jinka, Ethiopia",5.28,35.86,Glowacki,0,NYA,Nilotic,56
Enga,"Wabag, PNG",-5.491944,143.721667,Wiessner,0,PNG,Trans-New Guinea,22
Quechua,"Huatasani, Peru",-15.797194,-70.011389,Moya,0,QUE,Indo-European (Romantic),49
Rural Polish,Southern Poland,49.664295,21.049805,Jasienska & Galbarczyk,0,LIM,Indo-European (Balto-Slavic),55
Sapara & Achuar,"Conambo, Ecuador",1.871042,-76.880303,Patton,0,SPA,Quechuan & Jivaroan,59
Turku,"Turku, Finland",60.45,22.266667,Anfolk,1,TUR,Uralic & Indo-European (North Scandianvian),80
Toposa,"Jinka, Ethiopia",5.28,35.86,Glowacki,0,TOP,Nilotic,60
Tsimane,Bolivia,-15.115675,-66.53711,Stieglitz,0,TSI,Moseten-Tsimane,51
Beijing,"Beijing, China",39.916667,116.383333,Song,1,BEJ,Sino-Tibetan,124
Krakow,"Krakow, Poland",50.061389,19.937222,Jasienska & Galbarczyk,1,KRA,Indo-European (Balto-Slavic),44
San Diego,"San Diego, California",32.715,-117.1625,Schachner ,1,USD,Indo-European (Germanic),116
Toronto,Toronto,43.741667,-79.373333,Trehub,1,TOR,Indo-European (Germanic),198
Tannese Vanuatuans,Tanna Island,-19.51,169.356,Atkinson & Vardy,0,VAN,Indo-European (Melanesian Pidgin),90
