old_label,new_label
Swiss German,German
Greek,Modern Greek
Chinese/Mandarin,Mandarin Chinese
Chinese/Cantonese/Yue,Yue Chinese
Arabic,Standard Arabic
Armenian,Western Armenian
Chinese/Wu/Shanghainese,Wu Chinese
Croatian,Serbian-Croatian-Bosnian
Serbian,Serbian-Croatian-Bosnian
Farsi,Western Farsi
Albanian,Gheg Albanian
Bosnian,Serbian-Croatian-Bosnian
Flemish,Western Flemish
Azeri,North Azerbaijani
Ainu,Hokkaido Ainu
Konkani,Maharashtrian Konkani
Aramaic,Assyrian Neo-Aramaic
Malay,Standard Malay
Carib,Galibi Carib
Hebrew,Modern Hebrew
Apache,Western Apache
Chinese/Gan,Gan Chinese
Kurdish,Northern Kurdish
Frisian,Northern Frisian
Nepalese,Nepali
Olkola,Makolkol
Chinese/Yue,Yue Chinese
Slovene,Slovenian
Algerian,Algerian Arabic
Chinese/Shao Jiang,Gan Chinese
Mongolian,Middle Mongol
Chinese/Taiwanese/Min Nan/Hokkien,Min Nan Chinese
Chinese/Hokkien,Mandarin Chinese
Luxembourgish,German
Fulfulde,Western Niger Fulfulde
Bisaya,Sabah Bisaya
Hmong,Hmong Daw
Quechua,South Bolivian Quechua
Nahuatl,Central Puebla Nahuatl
Tamazight,Tidikelt-Tuat Tamazight
Bicol,Iriga Bicolano
Oriya,Kotia-Adivasi Oriya-Desiya
Sinhalese,Sinhala
Cree,Plains Cree
Kyrgyz,Russian
Chinese/Hakka,Hakka Chinese
Ilongo,Ilongot
Chinese/Qiong Wen,Mandarin Chinese
Sardinian,Campidanese Sardinian
Bantu,Bassa
Inuktitut,Eastern Canadian Inuktitut
Punjabi,Hindi
Rapa Nui,Rapanui
Aymara,Central Aymara
Khmer,Northern Khmer
Chinese/Min Zhong,Mandarin Chinese
Chinese/Min Dong,Min Dong Chinese
Chinese/Danzhou,Mandarin Chinese
Gaelic,Scottish Gaelic
Eskimo,Central Alaskan Yupik
Chinese/Xiang/Hunanese,Mandarin Chinese
Pashto,Northern Pashto
Chinese/Min Bei,Mandarin Chinese
Yiddish,Eastern Yiddish
Kapampangan,Pampanga
Uyghur,Uighur
Emakua,Makhuwa
Frankish,Old Dutch-Old Frankish
Mayan,Epigraphic Mayan
Romani,Romanian
PcovariatesApiamento,Papiamento
Chinese/Xianghua,Mandarin Chinese
Chinook,Upper Chinook
Chinese/Shaozhou Tuhua,Mandarin Chinese
Latgalian,Latvian
Kituba,Kituba (Congo)
Gaulish,Cisalpine Gaulish
Uzbek,Northern Uzbek
Sherpa,Solu-Khumbu Sherpa
Berber,Tarifiyt-Beni-Iznasen-Eastern Middle Atlas Berber
Malagasy,West Malagasy Sakalava
Ndebele,Zimbabwean Ndebele
Hakka,Hakka Chinese
Haida,Northern Haida
Basa,Bassa
Ch'ol,Chol
Guarani,Modern Paraguayan Guarani
Sorbian,Lower Sorbian
