Feature,ID_AD_overall,IDsong_ADsong,IDsong_IDspeech
mir_rolloff85,less,less,less
mir_attack_med,less,less,less
mir_attack_mean,less,less,less
praat_f1_mean,less,less,less
praat_f1_max,less,less,less
mir_inharmonicity,less,less,less
praat_intensity_min,less,less,less
praat_intensity_default,less,less,less
npvi_phrase,greater,greater,greater
npvi_total,greater,greater,greater
praat_f0_mean,greater,less,less
praat_f0travel_mean,less,less,less
praat_f0_travel_rate_default,less,less,less
mir_pulseclarity,greater,greater,greater
mir_roughness_mean,less,less,less
praat_f2_mean,less,less,less
praat_f2_max,less,less,less
mir_tempo,less,less,less
tm_std_hz,less,less,less
tm_peak_idx,less,less,less
praat_voweltravel_mean,greater,greater,greater
praat_voweltravel_rate_default,greater,greater,greater
