stimulus,voc,infant,adult,english
ACO01A,1,0,0,0
ACO01B,2,0,0,0
ACO01C,3,0,0,0
ACO01D,4,1,0,0
ACO02A,5,0,1,0
ACO02B,6,0,0,0
ACO02C,7,0,1,0
ACO02D,8,1,0,0
ACO03A,9,1,1,0
ACO03B,10,0,0,0
ACO03C,11,1,0,0
ACO03D,12,1,0,0
ACO04A,13,1,0,0
ACO04B,14,1,0,0
ACO04C,15,0,0,0
ACO04D,16,1,0,0
ACO05A,17,0,0,0
ACO05B,18,0,0,0
ACO05C,19,0,0,0
ACO05D,20,0,0,0
ACO06A,21,0,0,0
ACO06C,22,0,0,0
ACO06D,23,0,0,0
ACO07A,24,0,0,0
ACO07C,25,0,0,0
ACO07D,26,0,0,0
ACO08A,27,0,0,0
ACO08B,28,0,1,0
ACO08C,29,0,0,0
ACO08D,30,0,0,0
ACO09A,31,0,0,0
ACO09B,32,0,0,0
ACO09C,33,0,0,0
ACO09D,34,0,0,0
ACO10A,35,0,0,0
ACO10B,36,0,0,0
ACO10C,37,0,0,0
ACO10D,38,0,0,0
ACO11A,39,0,0,0
ACO11B,40,0,0,0
ACO11C,41,0,0,0
ACO11D,42,0,0,0
ACO12A,43,0,0,0
ACO12B,44,0,0,0
ACO12C,45,0,0,0
ACO12D,46,0,0,0
ACO13A,47,1,0,0
ACO13B,48,0,0,0
ACO13C,49,1,0,0
ACO13D,50,1,0,0
ACO14A,51,0,0,0
ACO14B,52,0,0,0
ACO14D,53,0,0,0
ARA01A,54,0,0,1
ARA01B,55,0,0,0
ARA01C,56,0,0,1
ARA01D,57,1,0,1
ARA02A,58,1,0,1
ARA02B,59,1,0,1
ARA02C,60,0,0,1
ARA02D,61,0,0,1
ARA03A,62,0,0,1
ARA03B,63,1,0,1
ARA03C,64,0,0,1
ARA03D,65,1,0,1
ARA04A,66,1,0,1
ARA04B,67,0,0,1
ARA04C,68,0,0,1
ARA04D,69,1,0,1
ARA05A,70,0,0,1
ARA05B,71,0,0,1
ARA05C,72,0,0,1
ARA05D,73,0,0,1
ARA06A,74,0,0,1
ARA06B,75,0,0,1
ARA06C,76,0,0,1
ARA06D,77,0,0,1
ARA07A,78,0,0,1
ARA07B,79,0,0,1
ARA07C,80,0,0,1
ARA07D,81,0,0,1
ARA08A,82,0,0,1
ARA08B,83,0,0,1
ARA08C,84,0,0,1
ARA08D,85,0,0,0
ARA09A,86,0,0,1
ARA09B,87,1,0,1
ARA09C,88,1,0,1
ARA09D,89,0,0,0
ARA10A,90,0,0,1
ARA10B,91,0,0,1
ARA10C,92,0,0,1
ARA10D,93,0,0,1
ARA11A,94,0,0,1
ARA11B,95,0,0,1
ARA11C,96,0,0,1
ARA11D,97,0,0,1
ARA12A,98,1,0,1
ARA12B,99,1,0,1
ARA12C,100,0,0,1
ARA12D,101,0,0,1
BEJ01A,102,0,0,0
BEJ01B,103,0,0,0
BEJ01C,104,0,0,0
BEJ01D,105,0,0,0
BEJ02A,106,0,0,0
BEJ02B,107,0,0,0
BEJ02C,108,0,0,0
BEJ02D,109,0,0,0
BEJ03A,110,0,0,0
BEJ03B,111,1,0,0
BEJ03C,112,0,0,0
BEJ03D,113,1,0,0
BEJ04A,114,0,0,0
BEJ04B,115,0,0,0
BEJ04C,116,0,0,0
BEJ04D,117,0,0,0
BEJ05A,118,0,0,1
BEJ05B,119,0,0,0
BEJ05C,120,0,0,0
BEJ05D,121,0,0,0
BEJ06A,122,0,0,0
BEJ06B,123,0,0,0
BEJ06C,124,0,0,0
BEJ06D,125,0,0,0
BEJ07A,126,0,0,0
BEJ07B,127,0,0,0
BEJ07C,128,0,0,0
BEJ07D,129,0,0,0
BEJ08A,130,0,0,0
BEJ08B,131,0,0,0
BEJ08C,132,1,0,0
BEJ08D,133,0,0,0
BEJ09A,134,0,0,0
BEJ09B,135,0,0,0
BEJ09C,136,0,0,0
BEJ09D,137,0,0,0
BEJ10A,138,0,0,0
BEJ10B,139,1,0,0
BEJ10C,140,0,0,0
BEJ10D,141,0,0,0
BEJ11A,142,0,0,0
BEJ11B,143,0,0,0
BEJ11C,144,0,0,0
BEJ11D,145,0,0,0
BEJ12A,146,0,0,0
BEJ12B,147,0,0,0
BEJ12C,148,0,0,0
BEJ12D,149,0,0,0
BEJ13A,150,0,0,0
BEJ13B,151,0,0,0
BEJ13C,152,0,0,0
BEJ13D,153,0,0,0
BEJ14A,154,0,0,0
BEJ14B,155,0,0,0
BEJ14C,156,0,0,0
BEJ14D,157,0,0,0
BEJ15A,158,0,0,0
BEJ15B,159,0,0,0
BEJ15C,160,1,0,0
BEJ15D,161,0,0,0
BEJ16A,162,0,0,0
BEJ16B,163,0,0,0
BEJ16C,164,0,0,0
BEJ16D,165,0,0,0
