id,File Duration,Culture,Location,Gender
ACO01A,0:00:06,Afr-Colombians,Colombia,F
ACO01B,0:00:09,Afr-Colombians,Colombia,F
ACO01C,0:00:05,Afr-Colombians,Colombia,F
ACO01D,0:00:08,Afr-Colombians,Colombia,F
ACO02A,0:00:09,Afr-Colombians,Colombia,M
ACO02B,0:00:08,Afr-Colombians,Colombia,M
ACO02C,0:00:06,Afr-Colombians,Colombia,M
ACO02D,0:00:10,Afr-Colombians,Colombia,M
ACO03A,0:00:32,Afr-Colombians,Colombia,F
ACO03B,0:00:06,Afr-Colombians,Colombia,F
ACO03C,0:00:06,Afr-Colombians,Colombia,F
ACO03D,0:00:12,Afr-Colombians,Colombia,F
ACO04A,0:00:14,Afr-Colombians,Colombia,F
ACO04B,0:00:04,Afr-Colombians,Colombia,F
ACO04C,0:00:11,Afr-Colombians,Colombia,F
ACO04D,0:00:07,Afr-Colombians,Colombia,F
ACO05A,0:00:39,Afr-Colombians,Colombia,F
ACO05B,0:00:10,Afr-Colombians,Colombia,F
ACO05C,0:00:16,Afr-Colombians,Colombia,F
ACO05D,0:00:48,Afr-Colombians,Colombia,F
ACO06A,0:00:23,Afr-Colombians,Colombia,F
ACO06C,0:00:20,Afr-Colombians,Colombia,F
ACO06D,0:00:02,Afr-Colombians,Colombia,F
ACO07A,0:00:24,Afr-Colombians,Colombia,M
ACO07C,0:00:39,Afr-Colombians,Colombia,M
ACO07D,0:00:06,Afr-Colombians,Colombia,M
ACO08A,0:00:53,Afr-Colombians,Colombia,F
ACO08B,0:00:10,Afr-Colombians,Colombia,F
ACO08C,0:01:41,Afr-Colombians,Colombia,F
ACO08D,0:00:34,Afr-Colombians,Colombia,F
ACO09A,0:00:14,Afr-Colombians,Colombia,F
ACO09B,0:00:04,Afr-Colombians,Colombia,F
ACO09C,0:00:09,Afr-Colombians,Colombia,F
ACO09D,0:00:13,Afr-Colombians,Colombia,F
ACO10A,0:00:20,Afr-Colombians,Colombia,F
ACO10B,0:00:01,Afr-Colombians,Colombia,F
ACO10C,0:00:44,Afr-Colombians,Colombia,F
ACO10D,0:00:20,Afr-Colombians,Colombia,F
ACO11A,0:00:13,Afr-Colombians,Colombia,F
ACO11B,0:00:06,Afr-Colombians,Colombia,F
ACO11C,0:00:03,Afr-Colombians,Colombia,F
ACO11D,0:00:04,Afr-Colombians,Colombia,F
ACO12A,0:00:06,Afr-Colombians,Colombia,F
ACO12B,0:00:01,Afr-Colombians,Colombia,F
ACO12C,0:00:37,Afr-Colombians,Colombia,F
ACO12D,0:00:03,Afr-Colombians,Colombia,F
ACO13A,0:00:34,Afr-Colombians,Colombia,F
ACO13B,0:00:03,Afr-Colombians,Colombia,F
ACO13C,0:00:40,Afr-Colombians,Colombia,F
ACO13D,0:00:02,Afr-Colombians,Colombia,F
ACO14A,0:00:28,Afr-Colombians,Colombia,M
