Timestamp,Enter your three-letter initials here.,Choose the collector's name and culture that this recording comes from.,"Enter the filenames of all original audio files associated with this subject (i.e., the person whose vocalizations are being recorded).","Are there any additional files associated with this subject? If so, enter their filenames.",What is this subject's unique identifier?,Which of the following samples are present?,Which recording will you be using? (MS or XY),Note any exceptions when choosing MS or XY,What time of day were the samples recorded?,What is the gender of the singer/speaker?,Which of the following roles of the singer/speaker does the researcher indicate?,"Is an infant present, as specified by the researcher?",What is the gender of the infant?,What is the relationship between the subject and the infant?,What is the age of the infant (in months)?,Is the age of the infant estimated by the researcher?,"In general, did you have trouble hearing the subject's vocalizations?",Are there any of the following sounds audible in addition to the subject and the researcher?,How much of an issue was background noise in hearing the subject's vocalizations?,How loud was the subject's vocalization?,Describe any problems with the audio here.,Note any additional information provided by the researcher about these recordings.,"Notes from 2nd coder. Please format notes with the sample name, description of notes, and your personal three letter identifier (e.g. ""WEL01A: Clipped out 1 second at the end to remove researcher's voice. CMB; WEL01C: Removed 2 seconds of silence from the beginning of the clip. CMB"")"
1/30/2018 15:43:16,ERA,Glowacki - Nyangatom (Ethiopia),"NY_SR015XY, NY_SR015MS",,NYA01,"Infant-directed song, Infant-directed speech, Adult-directed song, Adult-directed speech",XY,,9:54:00 AM,Female,Mother,Yes,Not specified,Mother of infant,3,Yes,No,"Infant(s), Adult(s), Outdoor sounds (e.g. birds, trees rustling)",2,4,,The woman bounces the child when singing. The adult-directed song is religious.,NYA01D: had baby cry after AD speech at end that I cut out. DWL
1/30/2018 15:53:40,ERA,Glowacki - Nyangatom (Ethiopia),"NY_SR022XY, NY_SR022MS",,NYA02,"Infant-directed song, Infant-directed speech, Adult-directed song, Adult-directed speech",XY,,10:25:00 AM,Female,,Yes,Not specified,Not specified,9,Yes,No,"Infant(s), Child or children, Outdoor sounds (e.g. birds, trees rustling)",2,4,,The singer was bouncing the infant when speaking to it. The adult-directed song is for dancing.,NYA02B: had extra time at the end after ID soeecg is finished that I cut out. DWL
1/30/2018 16:22:19,ERA,Glowacki - Nyangatom (Ethiopia),"NY_SR023XY, NY_SR023MS",,NYA03,"Infant-directed song, Infant-directed speech, Adult-directed song, Adult-directed speech",XY,,10:31:00 AM,Female,Mother,Yes,Male,Mother of infant,9,No,No,"Infant(s), Adult(s), Outdoor sounds (e.g. birds, trees rustling)",2,5,,"The researcher indicates that the adult-directed song is a ""cal""/""cow"" song.",NYA03B: had baby cry after ID speech at end that I cut out. DWL
1/30/2018 16:59:44,ERA,Glowacki - Nyangatom (Ethiopia),"NY_SR027XY, NY_SR027MS",,NYA04,"Infant-directed song, Infant-directed speech, Adult-directed song, Adult-directed speech",XY,,10:47:00 AM,Female,Mother,Yes,Male,Mother of infant,14,No,No,"Infant(s), Outdoor sounds (e.g. birds, trees rustling)",2,4,,The adult-directed song is a dancing song.,
1/30/2018 17:32:00,ERA,Glowacki - Nyangatom (Ethiopia),"NY_SR028XY, NY_SR028MS",,NYA05,"Infant-directed song, Infant-directed speech, Adult-directed song, Adult-directed speech",XY,,10:53:00 AM,Female,Mother,Yes,Male,Mother of infant,15,No,No,"Infant(s), Outdoor sounds (e.g. birds, trees rustling)",2,4,,"The adult-directed song is a cow song. A song ""for children"" (but not infant-directed) was recorded at [3:39.291 to 4:07.312].",
2/1/2018 13:57:23,ERA,Glowacki - Nyangatom (Ethiopia),"NY_SR031XY, NY_SR031MS",,NYA06,"Infant-directed song, Infant-directed speech, Adult-directed song, Adult-directed speech",XY,,11:11:00 AM,Female,Mother,Yes,Female,Mother of infant,16,Yes,No,"Infant(s), Outdoor sounds (e.g. birds, trees rustling)",2,4,,,
2/1/2018 14:30:07,ERA,Glowacki - Nyangatom (Ethiopia),"NY_SR034XY, NY_SR034MS",,NYA07,"Infant-directed song, Infant-directed speech, Adult-directed song, Adult-directed speech",XY,,,Female,Mother,Yes,Female,Mother of infant,9,No,No,"Infant(s), Outdoor sounds (e.g. birds, trees rustling)",2,3,,The adult-directed song is for dancing.,
2/1/2018 14:45:46,ERA,Glowacki - Nyangatom (Ethiopia),"NY_SR037XY, NY_SR037MS",,NYA08,"Infant-directed song, Infant-directed speech, Adult-directed song, Adult-directed speech",XY,,1:41:00 PM,Female,Mother,Yes,Female,Mother of infant,18,Yes,No,"Infant(s), Outdoor sounds (e.g. birds, trees rustling)",2,4,,The adult-directed song is a celebration song.,
2/12/2018 11:41:55,ERA,Glowacki - Nyangatom (Ethiopia),"NY_SR052XY, NY_SR052MS",,NYA09,"Infant-directed song, Infant-directed speech, Adult-directed song, Adult-directed speech",XY,,11:29:00 AM,Female,Mother,Yes,Not specified,Mother of infant,6,Yes,No,"Infant(s), Adult(s), Outdoor sounds (e.g. birds, trees rustling)",2,4,,The adult-directed song is a cow song.,
2/12/2018 12:12:33,ERA,Glowacki - Nyangatom (Ethiopia),"NY_SR056XY, NY_SR056MS",,NYA10,"Infant-directed song, Infant-directed speech, Adult-directed song, Adult-directed speech",XY,,8:30:00 AM,Female,Mother,Yes,Female,Mother of infant,6,Yes,No,"Infant(s), Adult(s), Outdoor sounds (e.g. birds, trees rustling)",2,4,,The adult-directed song is a dance song.,
2/12/2018 12:21:57,ERA,Glowacki - Nyangatom (Ethiopia),"NY_SR057XY, NY_SR057MS",,NYA11,"Infant-directed song, Infant-directed speech, Adult-directed song, Adult-directed speech",XY,,8:45:00 AM,Female,Mother,Yes,Not specified,Not specified,18,No,No,"Infant(s), Outdoor sounds (e.g. birds, trees rustling)",2,4,,"The adult-directed song is a dance, play song.",
2/12/2018 12:41:17,ERA,Glowacki - Nyangatom (Ethiopia),"NY_SR061XY, NY_SR061MS",,NYA12,"Infant-directed song, Infant-directed speech, Adult-directed song, Adult-directed speech",XY,,,Female,Mother,Yes,Not specified,Mother of infant,8,Yes,No,"Infant(s), Outdoor sounds (e.g. birds, trees rustling)",2,4,,,
2/12/2018 12:51:59,ERA,Glowacki - Nyangatom (Ethiopia),"NY_SR064XY, NY_SR064MS",,NYA13,"Infant-directed song, Infant-directed speech, Adult-directed song, Adult-directed speech",XY,,,Female,Mother,Yes,Not specified,Mother of infant,9,Yes,No,"Infant(s), Outdoor sounds (e.g. birds, trees rustling)",2,4,,The adult-directed song is a dancing song.,
2/12/2018 13:03:55,ERA,Glowacki - Nyangatom (Ethiopia),"NY_SR065XY, NY_SR065MS",,NYA14,"Infant-directed song, Infant-directed speech, Adult-directed song, Adult-directed speech",XY,,9:15:00 AM,Female,Mother,Yes,Not specified,Mother of infant,,No age was specified,No,"Outdoor sounds (e.g. birds, trees rustling)",2,4,,"The adult-directed song is for ceremony (dancing, playing) and eating.",
2/12/2018 13:20:21,ERA,Glowacki - Toposa (Ethiopia),"TOP_SR017XY, TOP_SR017MS",,TOP01,"Infant-directed song, Infant-directed speech, Adult-directed song, Adult-directed speech",XY,,10:02:00 AM,Female,Mother,Yes,Not specified,Not specified,,No age was specified,No,"Outdoor sounds (e.g. birds, trees rustling)",2,4,,"The adult-directed song is ""for playing"".",TOP01D: had background cough at end of AD speech that I cut out. DWL
2/12/2018 13:39:20,ERA,Glowacki - Toposa (Ethiopia),"TOP_SR018XY, TOP_SR018MS",,TOP02,"Infant-directed song, Infant-directed speech, Adult-directed song, Adult-directed speech",XY,,10:10:00 AM,Female,Mother,Yes,Female,Not specified,,Yes,No,"Outdoor sounds (e.g. birds, trees rustling)",2,4,,The adult-directed song is a dancing song.,
