Stimulus,ID_desc,AD_desc,Rater1,Rater2,Soothe,TML
ARA03,,Companionship song,0,0,0,1
ARA04,,Companionship song,0,0,0,0
ARA05,,Companionship song,0,0,0,0
ARA06,,Caring song,1,1,1,1
ARA07,,Caring song,1,1,1,1
ARA08,,Caring song,1,1,1,1
ARA09,,Companionship song,0,0,0,0
ARA10,,Companionship song,0,0,0,0
ARA12,,Companionship song,0,0,0,0
BEJ03,,Past remembrance song,1,1,1,1
BEJ04,,Love among young people song,1,1,1,1
BEJ05,,Encouragement song,0,0,0,1
BEJ06,,Love song,1,1,1,1
BEJ07,,Love song,1,1,1,1
BEJ08,,Class reunion song,0,0,0,1
BEJ09,,Love song,1,1,1,1
BEJ10,,Patriotic love song,1,1,1,1
BEJ11,,Traveling song,0,0,0,1
BEJ12,,First love song,1,1,1,1
BEJ14,,Love song,1,1,1,1
BEJ16,,Love song,1,1,1,1
BEJ17,,Love song,1,1,1,1
BEJ18,,Love song,1,1,1,1
BEJ19,,Goodbye song for comrades,0,0,0,1
BEJ20,,Love song,1,1,1,1
BEJ21,,Funny pop song,0,0,0,1
BEJ22,,Knockin' on Heaven's Door,0,0,0,1
BEJ24,,Love song,1,1,1,1
BEJ25,,Encouragement song,0,0,0,1
BEJ26,,Love song,1,1,1,1
BEJ27,,Lonely song,1,1,1,1
BEJ28,,Love song for when you miss someone,1,1,1,1
BEJ29,,Happy hang-out song,0,0,0,1
BEJ30,,Love song,1,1,1,1
BEJ31,,Love song,1,1,1,1
JEN02,,Religious song,0,0,0,1
JEN03,,Religious song,0,0,0,1
JEN04,,Religious song,0,0,0,1
JEN06,,Religious song,0,0,0,0
JEN10,,Religious song,0,0,0,1
JEN14,,Brother and sister song,0,0,0,1
JEN17,,Love song,1,1,1,1
JEN18,,Song from movie,0,0,0,1
JEN19,,Song from movie,0,0,0,1
JEN20,,Song from movie,0,0,0,1
NYA01,,Religious song,0,0,0,1
NYA02,,Dance song,0,0,0,1
NYA03,,Cow song,0,0,0,1
NYA04,,Dance song,0,0,0,1
NYA05,,Cow song,0,0,0,1
NYA07,,Dance song,0,0,0,1
NYA08,,Celebration song,0,0,0,1
NYA09,,Cow song,0,0,0,1
NYA10,,Dance song,0,0,0,1
NYA11,,Dance song,0,0,0,1
NYA13,,Dance song,0,0,0,1
NYA14,,Dance song,0,0,0,1
QUE03,,Work song,0,0,0,0
QUE05,,Love song,1,1,1,0
QUE07,,Funny love song,0,0,0,0
QUE14,,Love song,1,1,1,0
QUE16,,Song about island home,1,1,1,1
QUE18,,Orphan song,1,0,1,1
SPA03,,Happy song about flowers,0,0,0,1
SPA04,,Happy mother song,0,0,0,1
SPA05,,Happy Religious song,0,0,0,1
SPA06,,Happy work alone song,0,0,0,1
SPA08,,Happy mother song,0,0,0,1
SPA09,,Funny friend song,0,0,0,1
SPA10,,Somber lonely song,1,1,1,1
SPA12,,"Angry alone song (bad-smelling bird, probably hoatzin)",0,0,0,1
SPA13,,Happy Religious song,0,0,0,1
SPA14,,Church song,0,0,0,1
