Characteristic,%,N
Gender,,
Female,45.6%,7352
Male,51.5%,8299
Other,2.9%,463
[participant did not report],,14
Ethnicity,,
American Indian/Alaska Native,1.4%,207
Asian,23.3%,3366
Black or African-American,3.7%,536
More than one race,9.4%,1351
Native Hawaiian or other Pacific Islander,0.9%,131
White,61.2%,8836
[participant did not report],,1701
Hispanic,,
No,87.6%,12712
Yes,12.4%,1804
[participant did not report],,1612
Annual household income,,
"Under $10,000",9.1%,912
"$10,000 to $19,999",8.8%,879
"$20,000 to $29,999",7.4%,747
"$30,000 to $39,999",7.5%,755
"$40,000 to $49,999",7.4%,747
"$50,000 to $74,999",14.7%,1471
"$75,000 to $99,999",12.2%,1227
"$100,000 to $150,000",17.9%,1795
"Over $150,000",15.0%,1503
[participant did not report],,6092
